16 edged hard leather whip tipped with highsteel razorblades;30% mithril, 15% highsteel, 55% leather
A web of sparkling fabric;silk
A Weeping Blade;40% starmetal, 55% steel, 5% ebony
a weird looking gadget;stone
a well-crafted pair of stud-covered leather leggings;leather
a well made pike;wood
a whip made of thorny vine;vegetation
a white apron;60% cloth, 40% leather
a white dragonscale great helm;10% enchanted air, 20% mithril, 60% dragonscale, 10% diamond
a white glove;silk
A white hat of wizardy;cotton
a white headband with red dot;100% silk
A white leather belt;leather
a white marble torch;marble
a white shin guard;iridium
a white skull hanging on a steel chain;75% bone, 25% steel
a white slender sword, made of mithril;mithril
a wicked flesh amulet (diabolic);flesh
a wispy cloud resembling a frame;60% enchanted air, 40% silk
a witch's hat;silk
a wolf pendant;bone
a wooden bracelet;wood
a wooden breastplate;wood
a wooden drum;5% cloth, 30% birch, 50%petrified wood, 15% leather
a wooden hara-ate;wood
a wooden helmet;wood
a wooden staff illuminating the world (holy);30% cesium, 5% sapphire, 35% illumium, 30% petrified wood
a wooden tail guard;wood
a worn-out yellow miner's helmet;85% aluminium, 10% steel, 5% leather
a wreath of barbs, bloodstained;darksteel
Axe Of Knighthood;durandium
axe of the Dwarven Champion;adamantium
a yellow hara-ate;cloth
a Zhentorian Death Glaive;zhentorium
a Zhentorian Death Javelin;zhentorium
a Zhentorian Death Lance;zhentorium
a Zhentorian Death Spear;zhentorium
ballet slippers;cloth
ball of protection;onyx
Bandolier of the hellish warrior;fire
Barbarian Ring of Friendship;copper
Battleaxe of the Barbarian Lords;diamond
Battle Vest of the Ape Lord;70% leather, 30% iron
Beautiful emerald necklace;emerald
beautifully woven merchant's cloak;silk
Beautiful rosary called 'Cubido' (holy);silk
beautiful transparent longbow;10% fur, 80% enchanted air, 10% leather
Beautiful White Wings;feathers
Belt of bones;bone
Belt of Protections;dragonscale
Belt of the Ancient Wizard King;leather
Belt of the Baboon;highsteel
Belt of the Conquered;leather
black and white cape;silk
Black Axe called 'The Bleeder' <black aura>;diamond
Black barbed highsteel chainmail gauntlets;highsteel
black belt with red stripe;cloth
black bloodstained boots of a legionary;leather
Black Bracers of Madness;adamantium
black cat figurine of healing;ebony
black cloth case of lock picks;49% cloth, 51% highsteel
Black cotton robe called 'Eij-jowe';cotton
black crystal;onyx
black cutlass with spider ornamented blade;adamantium
black diamond ring;diamond
black D-shaped saw;10% diamond, 60% steel, 30% adamantium
Blackened half-plate;mithril
blackened metal plates;iron
black fiendish belt;leather
black greatsword, swathed in noxious fumes;darksteel
black-handled battle axe;35% ebony, 65% highsteel
Black Headband;NULL
black headband with tiger head ornament;silk
black horned helm;adamantium
black iron rod;19% ruby, 81% iron
black leather steeltoe boots;20% steel, 80% leather
Black Leggings of the Sorcerer <black aura>;leather
black mask with silvery spider ornament;silk
black nylon stockings;silk
Black opal ring;gold
black pants with spider web ornaments;silk
Black pulsating fragments of skin;leather
Black Reaver's armour;durandium
Black Reaver's Axe;adamantium
Black Reaver's gauntlets;adamantium
Black Reaver's old gauntlets;adamantium
black ring with tiger head ornament;pearl
Black robes of mystery;wool
Black Robes of Protection;silk
black sabre with spider shaped guard;highsteel
black scaled boots;dragonscale
black scaly bracers, full of thorns...it has a black aura around it;dragonscale
Black scaly bracers, full of thorns...It has a black aura around it.;iron
black scaly gloves...it has a black aura around it;dragonscale
black shadowy cape eaten by moths;silk
black shadowy cape;silk
Black Shield of Shadows <black aura>;mithril
black silk belt with tiger head ornament;silk
black silk bracelet with tiger claw ornament;silk
black silk cape with tiger head ornament;silk
black silk cloak;silk
Black Silk Glove;NULL
black silk gloves with tiger claw ornament;silk
Black Silk Headband;NULL
Black Silk Legging;NULL
black silk moccasins with tiger claw ornaments;silk
Black Silk Robes;silk
black silk sash with small tiger claw ornament;silk
black silk scarf;silk
black silk wrapped around arms;silk
black silk wrapped around legs;silk
black soft boots with silvery spider web ornaments;silk
black spiked bracers;40% coral, 60% laen
black spiked leather belt;leather
blacksteel greave;darksteel
black steel-tipped shoes;30% steel, 70% cloth
black tiger scarab;pearl
black top with silvery spider web ornaments;silk
Black torn fragment of skin;leather
Black trident called 'Reaper';titanium
Black Tunica of Zyll <black aura>;silk
black, twisted finger-blades;darksteel
Black Visored Helmet;diggalite
Black-white coif of Nuns;cloth
Black wool cloak of the Undying;wool
bladed steel gauntlets;steel
blade of frozen tears;ice
Blade Wind, the highsteel wakizashi;highsteel
Blessed Rosary of 'heart';NULL
Blood Mirror, the highsteel katana;highsteel
Bloody black belt with gray stripes;rubber
Bloody hangote;flesh
Bloody leggings;flesh
bloody rabbit's foot;fur
Blue dragon boots;zhentorium
Blue glove of master Conjurer;cloth
blue pointy hat with a wide rim;cloth
blue robe of the high lord;silk
blue silk armband with silver symbol;silk
blue tabard with silver symbol;neo burlap
blue velvet robe;wool
blue walking shoes;leather
Blunt blade of Quickness;indium
blunt sword made from crystal;quartz
bone breast plate;bone
boots of speed;zhentorium
bracelet made of green crystal;laen
bracelet made of red crystal;laen
bracelet made of yellow crystal;laen
Bracelet of Despair;diamond
Bracelets of San-Jyan;cobalt
Bracelets of San-Jyans;cobalt
Bracers of chaotic aura;enchanted air
brass knuckles;brass
Breastplate covered with slime;iron
Breastplate of the goddess;NULL
Breastplate of Xzui;adamantium
bright blue bracelets;75% gold, 25% sapphire
Brilliant Redfang Beads;30% hemp, 70% vegetation
bronze ring with spider ornament;bronze
brooch of visions;silver
brown gardening gloves;silk
burning highsteel bastard sword;5% ruby, 95% highsteel
Burning stone battleaxe;iron
Cape of Knowledge;leather
celestial axe;50% titanium, 50% sunstone
Celestial crosier of Las (holy);diamond
Changling Cloak;tadmium
charred, scaly vest made of monster's hide;darksteel
checkered wool and crystite mittens;50% wool, 25% crystal, 25% adamantium
chitin-covered leather breastplate;leather
chitin-covered leather shield;leather
Circlet of Flame;fire
Claw of Determination;bone
Claw of Gilsul;bone
Claymore of Guts;mithril
cloak of chilling death;leather
Cloak of Darkness;duraluminium
Cloak of fire;silk
Cloak of Light;NULL
cloak of the magi;cloth
cloak of the unseen;silk
cloak of the Warlock;silk
coal black robes;cotton
Coiled Serpents;mithril
Cold iron bracelets 'Shackles of the past';iron
Collar of the CatDemon;leather
cosmic orb of diversity;30% water, 40% aquamarine, 30% enchanted air
Count Mourdine's cape;silk
crass steel gauntlets;92% steel, 8% leather
crimson cloak;silk
Crimson robes of torment;wool
Crimson sash of Twilight;silk
cross of Viuzey (holy);opal
Crown of intellectual;kryptonite
Crown of Sorrows..  The Blood Crown;bloodstone
crown of the zhentorian admiral;zhentorium
crusiphix of Lore;silver
crystal ball of awareness (rare);crystal
crystal dagger;laen
crystal glove;crystal
crystallic amazon battlesuit;laen
crystal necklace;crystal
crystal ring with tiger head ornament;crystal
Crystal Sword;crystal
crystite gauntlets with spiked knuckles;50% crystal, 50% adamantium
crystite sleeves covered with a grey webbing;45% crystal, 10% wool, 45% adamantium
Curufin, the hammer of Brimbor;mithril
Curved leggings (dusty);iridium
Dark Blade of the Black Willows;petrified wood
dark claw of the verminkin;5% starmetal, 55% leather, 40% darksteel
dark gloves with spider web ornaments;silk
dark grey and white plaid kilt;cloth
Dark Red Boots;NULL
dark robe with a web of silver runes;silk
dark shadowy scythe;50% ebony, 50% darksteel
dark shadowy scythe;highsteel
darkstar bracers;33% sapphire, 67% darksteel
Daydream ring of Clouds named 'Sweet lullaby';diamond
decorated ivory dagger;ivory
decorated ivory sabre;ivory
Delicate rosary made from finest cloth (holy);cloth
Demonclaw boots;leather
Demonic armour;steel
Demonic Ring of Invisibility;dukonium
Demon-Lord Sword;highsteel
Demonologist's backpack;95% silk, 5% silver
demon's mask;dragonscale
Dermaglean Flesheater;mithril
Diamond inlaid mithril cap;80% mithril, 15% leather, 5%diamond
Diamond inlaid mithril gloves;80% mithril, 15% leather, 5% diamond
Diamond inlaid mithril pants;60% mithril, 10% diamond, 5% fur, 25% leather
Diamond inlaid mithril slippers;50% mithril, 5% diamond, 5% fur, 40% leather
dim silver ring;silver
dirty red robe;cloth
dirty white robe;cloth
divine avenger, disposer of heavenly judgement;50% mithril, 10% silver, 15% cobalt, 25% electrum
Divine Maul of Titans;nullium
Draconian scimitar;iron
Dracostarmikan, the staff of fire;water
dragonscale chainmail coated with gold;gold
Dragonscale Mail of the Chaos Lord;dragonscale
dragon skull;bone
Dragon sleeves;cobalt
Dream mask of Clouds called 'Nightmare preventer';glass
drow cloak..   The Dark Lord's pride;tormium
Dull black amulet ...It has a black aura around it.;iron
Dull Black Platemail;highsteel
dull grey helmet (0/2);5% cloth, 70% diggalite, 5% steel, 20% emerald
dull grey shield;iron
durandium bolts, sparking with electricity;durandium
Durandium demon-collar;durandium
Durin's battleaxe;durandium
Eaceran, the shield of Esachen;diamond
Ebony Bracers;ebony
ebony rod;petrified wood
elven battlesuit with hammer symbol on chest;adamantium
elven cloak;cloth
elven robe;cloth
elven shield shaped like a flower;adamantium
Emerald amulet;NULL
emerald and ruby bracelets;30% ruby, 40% platinum, 30% emerald
Empowered Black Leg Plates;iron
Empyrean, the Ancient Omni-Force of the Godly Onslaught [< * OMNIPOTENT * >];10% mithril, 55% diamond, 5% highsteel, 30% adamantium
Empyrean, the Battleaxe of Paladins (feeble);10% mithril, 55% diamond, 5% highsteel, 30% adamantium
Empyrean, the Battleaxe of Paladins (moderate);10% mithril, 55% diamond, 5% highsteel, 30% adamantium
Empyrean, the Celestial Balancer of the Order and Chaos [< * OMNIPOTENT * >];10% mithril, 55% diamond, 5% highsteel, 30% adamantium
Empyrean, the Dreamcrusher of Celestial Might (moderate);10% mithril, 55% diamond, 5% highsteel, 30% adamantium
Empyrean, the Dreamcrusher of Celestial Might (moderate);10% mithril, 5% highsteel, 55% diamond, 30% adamantium
Empyrean, the mighty Battleaxe of Paladin masters (moderate);10% mithril, 5% highsteel, 55% diamond, 30% adamantium
Empyrean, the mighty Battleaxe of Paladins (moderate);10% mithril, 5% highsteel, 55% diamond, 30% adamantium
Empyrean, the mighty Force of Heavenly Justice (moderate);10% mithril, 55% diamond, 5% highsteel, 30% adamantium
Empyrean, the outright Dreamcrusher of Celestial Force (moderate);10% mithril, 5% highsteel, 55% diamond, 30% adamantium
Empyrean, the Sheer Wrath of Unleashed Fury [Awesome];10% mithril, 5% highsteel, 55% diamond, 30% adamantium
Empyrean, the Sheer Wrath of Unleashed Fury (moderate);10% mithril, 5% highsteel, 55% diamond, 30% adamantium
Empyrean, the Sheer Wrath of Unleashed Fury [noble];10% mithril, 55% diamond, 5% highsteel, 30% adamantium
Empyrean, the Sheer Wrath of Unleashed Fury [< * OMNIPOTENT * >];10% mithril, 5% highsteel, 55% diamond, 30% adamantium
Empyrean, the Tranquility of Justified Fury Eternal (moderate);10% mithril, 5% highsteel, 55% diamond, 30% adamantium
Empyrean, the true Minionslayer of Heavenly Justice (moderate);10% mithril, 55% diamond, 5% highsteel, 30% adamantium
Enchanting looking cross made from Glass (holy);glass
Enelan, the Battleaxe of Eternal Midnight;5% mithril, 90% titanium, 5% highsteel
engraved turquoise bracers;turquoise
eternal book of wisdom (shimmering);dragonscale
Ethereal rucksack;enchanted air
exceptional adamantium chainmail;adamantium
Executioner's Axe;highsteel
Extremely tight black rubber shirt;rubber
Faded blue glove;cloth
faded nickel boots;nickel
Faerwon's shield of righteousness (holy);15% sapphire, 15% darksteel, 30% onyx, 40% emerald
Fearsome Newbie Axe named 'Onog';mithril
Felidae's sparkling crystal amulet;crystal
fine emerald dagger;emerald
fine eyeglasses;laen
Fine mithril sword of Galigonyth;mithril
fine steel mask of the demon;steel
Fire Diamond Battleaxe;diamond
Fire medallion;bone
flail with red and blue energy heads;steel
Flamesphere, the polearm of Giant-kin King;titanium
flaming red crystal crown;laen
Flashpoint the flaming sword;5% ruby, 95% highsteel
Flaxen Belt of Gold;gold
flexible black slippers;silk
flexible boots made from slime;emulsion
flexible collar made from slime;emulsion
flexible ring made from slime;emulsion
flowing bracelet;zhentorium
flowing silk cloak with spider ornament at back;silk
Flute of the Slave's sigh;bark
fragile and transparent glass ball;glass
Freezing cross carved from enchanted Ice (holy);ice
Frost medallion;mithril
Frost Robes;ice
frost sceptre;starmetal
Frosty armbands of Icequeen Draqell;ice
frosty three bladed halberd;adamantium
Full length bright red robe with a hood;NULL
fur-covered tome with GROO written on it;fur
Fur hat;fur
gauntlets of atrocities, the deeds beyond cruel;95% steel, 5% uranium
Gauntlets of Lust;titanium
gauntlets of the artificer;iron
giant war mace;25% wood, 75% iridium
Girdle of Ethereal Power;platinum
Girdle of Feral Power;platinum
G'kaden;clay
glaive of piercing;amethyst
Glass armbands;glass
glass bracers of the Seraphim;glass
glass globe of a snowfall scene;glass
glass hourglass on heavy wood bases;70% wood, 5% glass, 25% quartz
gleaming black claws;bone
gleaming copper tail ring;copper
gleaming metal light crossbow;duraluminium
gleaming silver blade;silver
gleaming silver helmet;silver
gleaming silver-white helmet;magnesium
gleaming silver wristbands;silver
gleaming silvery pick;uranium
gleaming splint armour shimmering blue magick <Kalevala>;steel
gleaming splint armour shimmering blue magick;steel
gleaming steel gauntlet;steel
Glimmering Belt of Elements;leather
glittering crystal plate mail;crystal
glittering diamond bracelet of Tranquility;diamond
glittering emerald longsword;19% wood, 81% emerald
glittering leg protectors;chromium
Glittering robes of Purity;cloth
glittery crystal breastplate;20% opal, 80% crystal
gloves made of mist;enchanted air
gloves of Nimbleness;osmium
Gloves of Unpredictable Power;tormium
glowing bracelets;gold
glowing golden circlet;gold
glowing golden gauntlets;titanium
Glowing red amulet;ruby
glowing silver trousers;quicksilver
gold and adamantium ring;10% gold, 90% adamantium
gold chain with circular dragonfly pendant;30% gold, 70% brass
golden belt of Fair River-Daughter;gold
Golden Bracelets;gold
golden helmet crown of the catfolk king;5% ruby, 30% gold, 60% steel, 5% emerald
golden jeweled dagger;60% gold, 40% silver
golden spider scarab;gold
golden wristbands;gold
gold ring of the ancient wyvern;5% ruby, 95% gold
gold ring with spider ornament;gold
gold sun cloak;amber
Gray great cloak;90% fur, 10% darksteel
Great axe of the Vikings;highsteel
Great axe of the Vikings;platinum
Great Mace of Ceche;51% elm, 49% stone
Great Sword called 'The Silver Maid';silver
great yellow boots;leather
green and brown splotched cape;burlap
green crystal wand;laen
green fingerless mittens;wool
Grey belt;mithril
grey crystal ring;crystal
grey lead boots;lead
grey vest with attachments;10% steel, 90% cloth
Grimy great cloak of true sorcerer;cloth
Halberd of Thunder;platinum
hammer of might;adamantium
Harmful dagger;iron
harvest ring;25% bone, 75% wood
heavy leather gloves;30% rubber, 70% leather
heavy obsidian boot;obsidian
heavy tabard with a chalice insignia;hemp
Helmet of Honor;titanium
Helm of souls;mithril
helm of the Crimson Plume;gold
highheeled black boots;leather
High-quality iron club;fire
highsteel bastard sword;highsteel
highsteel plate armour;highsteel
holy Omicron claymore;steel
Holy vest of Yak;crystal
homing spear;15% highsteel, 85% cedar
hook-shaped polearm;49% oak, 51% adamantium
Horn of Resounding;bone
horseshoe-shaped white object with gems;5% malachite, 5% topaz, 75% alabaster, 5% diamond, 5% amethyst, 5% emerald
hot crystal voulge of doom;laen
Hot crystal voulge of doom;NULL
huge flaming red crystal shield;laen
huge shiny rose-shaped mace;highsteel
huge silver-headed hammer;80% electrum, 20% highsteel
Hunter's cloak;leather
Hunters ring;palladium
ice dragon leggings;dragonscale
ice dragon sleeves;dragonscale
ice dragon vest;dragonscale
Ice Tiara of Grand Empress Aiko;15% sapphire, 70% ice, 15% aquamarine
icy gown;ice
Icy granite longsword;ice
Imaman, the Battleaxe of Eternal Sunshine;5% mithril, 90% titanium, 5% highsteel
invulnerable darksteel armour;darksteel
iron crown;iron
iron ring with onyx and pearl;20% onyx, 20% pearl, 60% iron
jet black onyx ring;onyx
jet black sleeves;20% silk, 80% zhentorium
kaveril Elder's ring;silver
Kawasa's legendary shadow shoes (lost its aura);dragonscale
Keeper, the majestic white lance of Lanzia;chrysoberyl
Kerbholz <weak white glow>;emerald
King Elah's broad band of water;90% water, 10% enchanted air
king's lead hat;lead
King Zimri's granite cloak;90% silk, 10% enchanted air
knitted red stocking cap;wool
knobbed oak staff;oak
Knobby Staff of the Archmage;mithril
K'prurian battle mace;wood
kraftigar, trident of darkness;laen
lance of the forgotten;osmium
large glass monocle;glass
large mahogany staff with a white rune;mahogany
large tome with green covers;paper
large white shield;bone
Lava boots;fire
leather and steel plate boots; 51% steel, 49% leather
leatherbound fiery tome;leather
leatherbound frosty tome;leather
leather collar with embedded diamonds;20% diamond, 80% leather
leather glove;leather
leather mask;leather
leather muscle shirt;leather
Legendary Cross of Winds (holy);enchanted air
leggings of putrid flesh (undead);flesh
Leggings of Sorrow;mithril
leggings of wyrmkind;dragonscale
Lightning Bolt of Zeus;indium
long, black staff of petrified wood;petrified wood
longbow of demon's delight;5% fire, 95% mallorn
long decorated staff;oak
long, gnarled wood staff topped with a red crystal;15% ruby, 85% wood
Long polearm of demons;graphite
Long polearm of Melcross;laen
long pole topped with blazing golden light;titanium
long sky-blue scarf;wool
Long staff of Artemis;duraluminium
Longsword of the Ogrekiller;laen
loricated chainmail;tadmium
lucky rabbit's foot;flesh
mace of high templar;adamantium
Mace of the Barbarian Lords;diamond
Mace of the Manta Ray;adamantium
magical tome;marble
magicians hat;cloth
magician's pointed hat;cloth
Magnificient twisty lizard sceptre;2% laen, 98% oak
Malady Axe;mithril
mallorn shield with long mithril spike;40% mithril, 60% mallorn
manacle and shattered chain;steel
mantle of the woodsman;40% vegetation, 60% neo burlap
maroon gloves;coral
mask of a bearded human male; 25% fur, 75% wood
mask of gluttony;food
Mask of Jester;leather
mask of the devil;dragonscale
massive steel-headed morningstar, loaded with spikes;45% ebony, 46% steel, 9% dragonscale
medallion of honor;silver
midnight black bracers;highsteel
midnight black cloak;silk
Mighty axe of Marion;adamantium
Mirror breastplate;diamond
misty blue shield of energy;enchanted air
mithril amulet;mithril
mithril shirt;mithril
mithril spiked tail guard;mithril
mithril whip;mithril
Moonshade, coral great belt;coral
moonstone leggings;moonstone
moonstone necklace;90% moonstone, 10% silver
moonstone tiara;75% moonstone, 25% diamond
moonstone tiara;moonstone
Morlhach (Black Leaping flame);laen
multicolored crystal;crystal
Myrier's Ankh-Cross;silver
mysterious cloak;silk
Mythiko;adamantium
Naramba (Fire-shield);laen
nasty-looking adamantium waraxe;adamantium
nasty looking sacrificial dagger;highsteel
Navy Blue Boots;15% steel, 5% cobalt, 80% leather
necklace made of miniature skulls;bone
necklace made out of sharp fangs;ivory
necklace of Elewyn's Heart;gold
necklace of fire;amber
necklace of lost love;80% wood, 20% silver
Necklace of Shoes;NULL
Necklace of Tears;mithril
necklace of teeth;75% ivory, 25% leather
necklace of the ancient breed;titanium
Necklace of The Petrified Heart;stone
Necklace of unearthly might;darksteel
Necronomicon ex mortes (book);iron
nekode;highsteel
Nightcleave (Burning White Fire);adamantium
Nightfall, proclaimer of death eternal;ruby
Nightmare gloves of Clouds called 'Shattered dreams';feathers
nimbus of fire;5% air, 95% fire
nosferatu ring;20% garnet, 80% darksteel
Nova Arcanum, Melkior's book of necromancy;dragonscale
Old and torn rosary (holy);cloth
old and worn arm protectors;leather
Old Dusty Boots;NULL
old dusty shoes;leather
Opal inlaid adamantite breastplate;5% fur, 10% opal, 25% leather, 60% adamantium
Opal inlaid adamantite gloves;80% adamantium, 15% leather, 5% opal
Opal inlaid adamantite helmet;5% opal, 15% leather, 80% adamantium
Opal inlaid adamantite leggings;10% opal, 5% fur, 60% adamantium, 25% leather
opaque belt of Transcension;50% air, 50% illumium
Opaque bracelets 'tekek';chrysoberyl
orb of doom;obsidian
orb of earth and stone;stone
orb of heat and flame;ruby
orb of Succour;nullium
orb of wind and rain;ice
Orc Scouts' Field Guide;paper
ornamented green elven platemail;steel
ornate golden horn;gold
Otuma, the Battleaxe of Everlasting Sunshine;5% mithril, 90% titanium, 5% highsteel
outdoorsman's belt;silicon
oxidized copper voulge;copper
Pain..  The Blades of Vengeance;durandium
Paper knife with a signet on the hilt;silver
Pearl ring;pearl
pelt of the Silverback Guardian;fur
Pendant of Apathy..  emitting a dead black aura;moonstone
Pendant of Quickness;gold
pendant of safety;30% amethyst, 70% tin
Pendant of the Vampire;obsidian
pewter ring set with an amethyst;30% amethyst, 70% pewter
Piece of a shield;highsteel
pink crystal arm guards;laen
Pointed black witch hat;NULL
Prancy high-heeled glass shoes;glass
Prismatic Rod;iron
Pulsing Leggings;mithril
purple amazon cloak;silk
purple vestment with gold trim;silk
Rakirsai, The Blue Flame;fire
ramskin leggings;50% wool, 50% leather
razor-sharp shortsword;steel
recurved oak shortbow;oak
Red armlets of the ancient order;ruby
red bamboo shield;bamboo
red belt;silk
Reddists Dragonscale boots;iron
Redfang Beads of Iron Will;30% hemp, 70% vegetation
red felt boots;cloth
Red Glove of the Healer;silk
Red Hot Poker;brass
red laen cutlass;laen
red robe with mystic symbol at back;silk
red silk towel;silk
Red turban;silk
Red turban with white spots;7% laen, 1% coral, 90% cloth, 1% steel, 1% leather
red wading boots;dragonscale
Red Wizard's Cloak;NULL
Resilient Redfang Beads;70% vegetation, 30% hemp
Ring made of tin <Cursed>;tin
Ring of Amour;gold
ring of cold resistance;iron
Ring of Death;bloodstone
Ring of Deep Shadows;enchanted air
ring of fire resistance;iron
Ring of Fire;silver
ring of infravision;iron
Ring of insight;silver
ring of intelligence;iron
ring of lead;lead
ring of magic resistance;iron
Ring of Many Wonders;silver
Ring of Memories;NULL
Ring of Ndoki;kryptonite
ring of power;iron
Ring of Protection;3% diamond, 97% dukonium
ring of seasons;10% ruby, 60% gold, 10% topaz, 10% emerald, 10% diamond
ring of see invisibility;iron
ring of see magic;iron
Ring of Shadows;mithril
ring of spell restoration;iron
ring of sustenance;iron
Ring of the Medusa;gold
ring of the quest masters;steel
ring of the shifters;cobalt
ring of the traveller;steel
ring of wisdom;iron
Ring of Wizardry;gold
ring with the seal of the kings;10% silver, 60% nickel, 30% iron
Robe of the Archmagi;wool
robes woven out of shadows;air
Rod of Artemis;coal
rod of life and death; 80% alabaster, 20% obsidian
rod of the faeries;crystal
Rod of the Ogres;lead
round silver disc;silver
round wooden shield with iron rim;10% leather, 45% iron, 45% wood
royal crown made of electrum;electrum
royal ring made of electrum;electrum
ruby claws;ruby
ruby long spear; 20% ruby, 80% oak
ruby shoes;silk
Rude mask made of oak;1% pearl, 95% oak, 4% laen
runed ivory boots;ivory
runed silver bracers;silver
Rust Claw the holy hammer;20% iron, 80% laen
Rusty chain mail;steel
Rusty long sword;steel
Sacred Bracelets of Eternity;mithril
Sanctuary Ring;silver
Sandals of the Earth;clay
Sando's Martel de Fer;osmium
Sawtooth the assassin's dagger;adamantium
Scale of Khisanth;osmium
scaly cloak of diffusion;flesh
Scarf of Beauty;silk
Sceptre of Power [Mana Mode];silver
scorched spear;mithril
Scorpion the poisonous polearm;60% mahogany, 40% highsteel
Scotsman's Kilt;wool
Seamonster's Teeth;bone
segmented titanium belt;titanium
Serpentyne the Sword of the Serpents;diamond
shadow belt;enchanted air
shadow blade;steel
shadow boots;enchanted air
shadow bracelets;enchanted air
shadow bracelet;silk
shadow gloves;enchanted air
shadow headband;enchanted air
shadow leggings;enchanted air
shadow ring;silk
shadow scarab;silk
shadow sleeves;enchanted air
shadow staff;onyx
shadow vest;enchanted air
shadow vest;silk
shadowy claws extending from the back of the hand;enchanted air
Sharp edged crystal sai;NULL
sharp razor edged steel sabre;steel
sharp razor edged steel voulge;steel
sharp scythe crafted from bone;bone
sharp steel bastard sword;steel
Shield named 'Reflection of Goodness';mithril
shield of Ages;stone
Shield of a Thousand Reflections;laen
Shield of Axartich;titanium
Shield of Daemons;highsteel
Shield of Dreams;silver
shield of enlightenment;mithril
Shield of Rage;laen
Shield of the Rex;highsteel
Shining Mace of the Elven Lord;adamantium
shining ring crafted out of moonstone;moonstone
shining sapphire bracers;sapphire
Shining silver bracelets;silver
shining silver leggings of the Archangel;silver
Shining sword;mithril
shiny breastplate;steel
shiny platemail;steel
Shoes that look a little bit gay (was lost);dragonscale
short black blowgun;bamboo
short dull black cloak;hemp
short ebony staff with a human skull on top;ebony
short length of rope;hemp
short mithril-headed hammer;40% mithril, 60% granite
shortname;material
Short sword 'flicker';kryptonite
Short Sword of Demons;NULL
Shrunken toad talisman;flesh
Silently humming cross made from gold (holy);gold
Silently humming Cross of Clouds (holy);feathers
silk blue cloak with wolf emblem on the back;silk
silk sash, dyed the colour of blood;silk
silver band of swiftness (humming);100% silver
Silver Battlesuit;silver
silver circlet of the necromancer;silver
silver dagger of the necromancer;silver
silver dragon bracers;silver
Silver Great Belt;silver
Silver ring bearing white figure of a dove;silver
silver ring with engraving;silver
silver ring with spider ornament;silver
silverstar bracelets;33% diamond, 67% starmetal
Silversteel sai;zhentorium
silvery amazon arm greaves;adamantium
silvery amazon boots;adamantium
silvery amazon breastplate;adamantium
silvery amazon gloves;adamantium
silvery amazon helmet;adamantium
silvery amazon leggings;adamantium
silvery bracers with spider ornaments;silver
silvery crucifix, overlaid with white cloth (holy);85% silver, 15% cloth
silvery spider necklace;silver
Silvery Spider Scarab;NULL
Simple cloth backpack;5% tin, 95% cloth
Sinful Boots of Sloth;enchanted air
Sinful Girdle of Gluttony;30% leather, 70% laen
sizzling blue gloves;electrum
Skie's claws (sharp);adamantium
skin tight leather pants;leather
skull talisman;bone
Slayer;adamantium
sleeves made of dark grey feathers;feathers
sleeves of moomin emulsion;emulsion
slender elven bracelets;silver
Slicer;indium
Slime cloak;flesh
slime gauntlets;iron
Slime necklace;fur
slimy mummy headband;iron
slimy sleeves of mushroom mother;5% laen, 80% cloth, 10% chalk, 5% diamond
Slippery dagger;quicksilver
Small clear globe made out of glass;glass
small crystal prism on a mithril chain;50% mithril, 50% quartz
small gloves of extreme observance (rare);fur
smelly cape;flesh
snakeskin belt;leather
Snickersnack the battle axe;35% ebony, 65% highsteel
Snowy white feather wings of an Angel;feathers
Sorcil's Cloak;fur
Soul Ripper, the jet black katana;quicksilver
Soul Ripper, the jet black rusty katana;quicksilver
sparkling emerald ring;emerald
sparkling red bracers;ruby
sparkling ruby ring;ruby
sparkling ruby rose;ruby
spark, the claw of fire;fire
Spider Amulet;durandium
spider hilted sai;adamantium
spider shaped sacrificial dagger;highsteel
spiked adamantium collar with perfect star ruby;adamantium
spiked battlesuit;durandium
Spiked black gauntlets of the brigand-duke;dukonium
spiked dwarven platemail;steel
spiked glaive with long oak haft;70% oak, 30% highsteel
spiked knee guards;iron
spiked mailed gauntlets;highsteel
Spinning Ice-Mace (bashing);durandium
Spirit knuckledusters;silver
staff of absorption;maple
staff of a jester;maple
staff of law;mahogany
Staff of the Elements;wood
staff of the Silent magician;wood
stainless steel tuxedo;steel
star-shaped ruby amulet;40% ruby, 30% platinum, 30% adamantium
star shaped shield;adamantium
steel longsword;steel
steel-reinforced leather boot;20% steel, 80% leather
Steel Studded gauntlets;steel
stiff steel jackboots;94% steel, 6% mithril
Stinger;adamantium
Stone of Doom, with glowing green eyes;granite
stone rod with a jade head;30% jade, 70% stone
Storm Battleaxe;zhentorium
storm bracelet;obsidian
Stormfall, the infernal double-edged axe of the Dawning Twilight;anipium
stout dwarven mining axe;60% highsteel, 40% oak
strangely-shaped starmetal amulet;90% starmetal, 10% batium
straw hat with a ribbon;vegetation
strong sapphire boots;sapphire
Sturdy black leather boot inlaid with rubies;10% ruby, 90% leather
sturdy gauntlets made of steel;steel
suit of light tan leather armour;leather
sun amulet;gold
supple maroon trousers;cobalt
surcoat of Honor;iron
swirled green vest;malachite
swirling bands of lava <flaming>;fire
swirling violet and white robe;hemp
Sword-belt of resistance;leather
Sword of Clouds fuming celestial light;glass
sword of elven kings;highsteel
Sword of Mists;emerald
sword of wonders;laen
tall white puffy hat;cloth
